semilla,nodo,recovered_s,recuperada
42,satellite,9.661,true
42,gateway-a,5.492,true
42,gateway-b,11.649,true
42,ue,12.618,true
42,edge-1,3.746,true
42,edge-2,4.919,true
42,relay-1,8.969,true
42,relay-2,7.443,true
43,satellite,8.440,true
43,gateway-a,5.940,true
43,gateway-b,12.298,true
43,ue,11.784,true
43,edge-1,8.739,true
43,edge-2,13.647,true
43,relay-1,10.344,true
43,relay-2,,false
44,satellite,9.924,true
44,gateway-a,5.682,true
44,gateway-b,12.293,true
44,ue,8.324,true
44,edge-1,7.865,true
44,edge-2,,false
44,relay-1,14.204,true
44,relay-2,7.966,true
